#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=CUAN|date=2024-12-05|rows=280|source_base=416203|compact_sha=e30722f47ac5cf7a4eb05caf413beefc2fc028318a852f2fd74d9e691641d3d4
defaults_json={"RAW_TICKER":"CUAN","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|711.051880|718.562988|708.548157|711.051880|764867|x4=1;x5=1;x14=1
1|09:01:00|711.051880|718.562988|711.051880|716.059265|161760|x14=1
2|09:02:00|716.059265|718.562988|716.059265|716.059265|170747|x14=1
3|09:03:00|716.059265|728.577759|713.555542|728.577759|871709|x14=1
4|09:04:00|723.570374|731.081482|723.570374|731.081482|1043454|x14=1
5|09:05:00|728.577759|731.081482|728.577759|731.081482|153772|
6|09:06:00|731.081482|731.081482|728.577759|731.081482|408395|
7|09:07:00|731.081482|733.585205|726.074097|728.577759|1460836|
8|09:08:00|728.577759|731.081482|726.074097|728.577759|256620|
9|09:09:00|728.577759|731.081482|726.074097|728.577759|290570|
10|09:10:00|728.577759|731.081482|726.074097|728.577759|31953|
11|09:11:00|726.074097|728.577759|721.066650|721.066650|1190237|
12|09:12:00|723.570374|723.570374|721.066650|721.066650|371450|
13|09:13:00|721.066650|723.570374|721.066650|723.570374|98854|
14|09:14:00|721.066650|723.570374|713.555542|713.555542|966568|
15|09:15:00|711.051880|713.555542|711.051880|711.051880|216679|
16|09:16:00|711.051880|711.051880|706.044434|706.044434|165754|
17|09:17:00|706.044434|708.548157|703.540771|708.548157|338499|
18|09:18:00|711.051880|713.555542|711.051880|713.555542|177737|
19|09:19:00|713.555542|718.562988|713.555542|718.562988|230658|
20|09:20:00|718.562988|723.570374|718.562988|723.570374|274593|
21|09:21:00|726.074097|726.074097|721.066650|723.570374|217678|
22|09:22:00|723.570374|726.074097|718.562988|718.562988|631065|
23|09:23:00|718.562988|721.066650|718.562988|721.066650|5991|
24|09:24:00|718.562988|721.066650|718.562988|718.562988|28957|
25|09:25:00|718.562988|718.562988|718.562988|718.562988|40939|
26|09:26:00|721.066650|721.066650|718.562988|718.562988|151775|
27|09:27:00|718.562988|718.562988|718.562988|718.562988|1997|
28|09:28:00|718.562988|718.562988|718.562988|718.562988|49926|
29|09:29:00|716.059265|718.562988|716.059265|716.059265|21967|
30|09:30:00|716.059265|716.059265|716.059265|716.059265|6990|
31|09:31:00|716.059265|716.059265|716.059265|716.059265|50925|
32|09:32:00|716.059265|716.059265|716.059265|716.059265|206694|
33|09:33:00|716.059265|716.059265|713.555542|716.059265|13979|
34|09:34:00|716.059265|716.059265|716.059265|716.059265|14978|
35|09:35:00|716.059265|718.562988|716.059265|718.562988|122818|
36|09:36:00|718.562988|718.562988|718.562988|718.562988|999|
37|09:37:00|718.562988|718.562988|718.562988|718.562988|999|
38|09:38:00|718.562988|718.562988|716.059265|718.562988|61908|
39|09:39:00|718.562988|721.066650|718.562988|721.066650|10984|
40|09:40:00|718.562988|718.562988|716.059265|716.059265|55917|
41|09:41:00|716.059265|716.059265|716.059265|716.059265|64904|
42|09:42:00|716.059265|718.562988|716.059265|718.562988|20969|
43|09:43:00|718.562988|718.562988|718.562988|718.562988|999|
44|09:44:00|716.059265|716.059265|716.059265|716.059265|4993|
45|09:45:00|716.059265|716.059265|716.059265|716.059265|4993|
46|09:46:00|716.059265|718.562988|716.059265|718.562988|20969|
47|09:47:00|718.562988|718.562988|718.562988|718.562988|100851|
48|09:48:00|718.562988|718.562988|718.562988|718.562988|5991|
49|09:49:00|718.562988|721.066650|718.562988|721.066650|30954|
50|09:50:00|721.066650|721.066650|721.066650|721.066650|213683|
51|09:51:00|721.066650|721.066650|721.066650|721.066650|49926|
52|09:52:00|721.066650|721.066650|718.562988|718.562988|5991|
