source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
421652	CYBR	2024-12-05 09:00:00	60		0	0	164.000000	164.000000	157.000000	157.000000	298400	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
421653	CYBR	2024-12-05 09:01:00	60	60	0	0	160.000000	160.000000	158.000000	158.000000	90000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
421654	CYBR	2024-12-05 09:02:00	60	60	0	0	158.000000	165.000000	158.000000	165.000000	1712800	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
421655	CYBR	2024-12-05 09:03:00	60	60	0	0	164.000000	165.000000	160.000000	160.000000	357800	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
421656	CYBR	2024-12-05 09:04:00	60	60	0	0	164.000000	164.000000	164.000000	164.000000	139400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
421657	CYBR	2024-12-05 09:05:00	60	60	0	0	163.000000	163.000000	160.000000	162.000000	360400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421658	CYBR	2024-12-05 09:06:00	60	60	0	0	162.000000	162.000000	162.000000	162.000000	60200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421659	CYBR	2024-12-05 09:07:00	60	60	0	0	160.000000	161.000000	160.000000	161.000000	311600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421660	CYBR	2024-12-05 09:08:00	60	60	0	0	160.000000	160.000000	159.000000	159.000000	270600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421661	CYBR	2024-12-05 09:09:00	60	60	0	0	158.000000	158.000000	157.000000	157.000000	319400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421662	CYBR	2024-12-05 09:10:00	60	60	0	0	157.000000	158.000000	156.000000	158.000000	291600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421663	CYBR	2024-12-05 09:11:00	60	60	0	0	157.000000	157.000000	156.000000	156.000000	103400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421664	CYBR	2024-12-05 09:13:00	60	120	1	0	157.000000	157.000000	157.000000	157.000000	325600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421665	CYBR	2024-12-05 09:14:00	60	60	0	0	157.000000	157.000000	157.000000	157.000000	635400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421666	CYBR	2024-12-05 09:15:00	60	60	0	0	157.000000	158.000000	157.000000	157.000000	758000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421667	CYBR	2024-12-05 09:16:00	60	60	0	0	157.000000	157.000000	157.000000	157.000000	1027400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421668	CYBR	2024-12-05 09:17:00	60	60	0	0	157.000000	158.000000	156.000000	157.000000	608400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421669	CYBR	2024-12-05 09:18:00	60	60	0	0	156.000000	156.000000	155.000000	156.000000	372000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421670	CYBR	2024-12-05 09:21:00	60	180	1	0	156.000000	156.000000	156.000000	156.000000	391000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421671	CYBR	2024-12-05 09:22:00	60	60	0	0	156.000000	156.000000	156.000000	156.000000	366000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421672	CYBR	2024-12-05 09:23:00	60	60	0	0	156.000000	156.000000	156.000000	156.000000	491200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421673	CYBR	2024-12-05 09:24:00	60	60	0	0	156.000000	156.000000	156.000000	156.000000	263000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421674	CYBR	2024-12-05 09:25:00	60	60	0	0	156.000000	156.000000	156.000000	156.000000	561400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421675	CYBR	2024-12-05 09:26:00	60	60	0	0	156.000000	157.000000	156.000000	156.000000	492200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421676	CYBR	2024-12-05 09:27:00	60	60	0	0	156.000000	156.000000	155.000000	155.000000	200000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421677	CYBR	2024-12-05 09:28:00	60	60	0	0	156.000000	156.000000	156.000000	156.000000	301400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421678	CYBR	2024-12-05 09:29:00	60	60	0	0	156.000000	156.000000	156.000000	156.000000	244600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421679	CYBR	2024-12-05 09:31:00	60	120	1	0	157.000000	157.000000	157.000000	157.000000	292400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421680	CYBR	2024-12-05 09:32:00	60	60	0	0	157.000000	157.000000	157.000000	157.000000	415200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421681	CYBR	2024-12-05 09:33:00	60	60	0	0	157.000000	157.000000	157.000000	157.000000	112600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421682	CYBR	2024-12-05 09:37:00	60	240	1	0	157.000000	157.000000	157.000000	157.000000	40000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421683	CYBR	2024-12-05 09:38:00	60	60	0	0	157.000000	157.000000	157.000000	157.000000	312600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421684	CYBR	2024-12-05 09:39:00	60	60	0	0	157.000000	157.000000	157.000000	157.000000	404400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421685	CYBR	2024-12-05 09:40:00	60	60	0	0	157.000000	158.000000	157.000000	158.000000	517800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421686	CYBR	2024-12-05 09:41:00	60	60	0	0	158.000000	158.000000	157.000000	157.000000	661800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421687	CYBR	2024-12-05 09:42:00	60	60	0	0	157.000000	157.000000	157.000000	157.000000	552000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421688	CYBR	2024-12-05 09:43:00	60	60	0	0	157.000000	157.000000	157.000000	157.000000	818800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421689	CYBR	2024-12-05 09:44:00	60	60	0	0	157.000000	158.000000	157.000000	158.000000	120000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421690	CYBR	2024-12-05 09:45:00	60	60	0	0	158.000000	158.000000	157.000000	158.000000	143600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421691	CYBR	2024-12-05 09:47:00	60	120	1	0	157.000000	157.000000	157.000000	157.000000	335200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421692	CYBR	2024-12-05 09:48:00	60	60	0	0	157.000000	158.000000	156.000000	157.000000	569600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
421693	CYBR	2024-12-05 09:49:00	60	60	0	0	157.000000	157.000000	156.000000	156.000000	364600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
