#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=CYBR|date=2024-12-05|rows=199|source_base=421652|compact_sha=7c819458d4d7137f2151145b7f84790522525c1cbb8e2a21dc0529006f581b0b
defaults_json={"RAW_TICKER":"CYBR","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|164.000000|164.000000|157.000000|157.000000|298400|x4=1;x5=1;x14=1
1|09:01:00|160.000000|160.000000|158.000000|158.000000|90000|x14=1
2|09:02:00|158.000000|165.000000|158.000000|165.000000|1712800|x14=1
3|09:03:00|164.000000|165.000000|160.000000|160.000000|357800|x14=1
4|09:04:00|164.000000|164.000000|164.000000|164.000000|139400|x14=1
5|09:05:00|163.000000|163.000000|160.000000|162.000000|360400|
6|09:06:00|162.000000|162.000000|162.000000|162.000000|60200|
7|09:07:00|160.000000|161.000000|160.000000|161.000000|311600|
8|09:08:00|160.000000|160.000000|159.000000|159.000000|270600|
9|09:09:00|158.000000|158.000000|157.000000|157.000000|319400|
10|09:10:00|157.000000|158.000000|156.000000|158.000000|291600|
11|09:11:00|157.000000|157.000000|156.000000|156.000000|103400|
12|09:13:00|157.000000|157.000000|157.000000|157.000000|325600|
13|09:14:00|157.000000|157.000000|157.000000|157.000000|635400|
14|09:15:00|157.000000|158.000000|157.000000|157.000000|758000|
15|09:16:00|157.000000|157.000000|157.000000|157.000000|1027400|
16|09:17:00|157.000000|158.000000|156.000000|157.000000|608400|
17|09:18:00|156.000000|156.000000|155.000000|156.000000|372000|
18|09:21:00|156.000000|156.000000|156.000000|156.000000|391000|
19|09:22:00|156.000000|156.000000|156.000000|156.000000|366000|
20|09:23:00|156.000000|156.000000|156.000000|156.000000|491200|
21|09:24:00|156.000000|156.000000|156.000000|156.000000|263000|
22|09:25:00|156.000000|156.000000|156.000000|156.000000|561400|
23|09:26:00|156.000000|157.000000|156.000000|156.000000|492200|
24|09:27:00|156.000000|156.000000|155.000000|155.000000|200000|
25|09:28:00|156.000000|156.000000|156.000000|156.000000|301400|
26|09:29:00|156.000000|156.000000|156.000000|156.000000|244600|
27|09:31:00|157.000000|157.000000|157.000000|157.000000|292400|
28|09:32:00|157.000000|157.000000|157.000000|157.000000|415200|
29|09:33:00|157.000000|157.000000|157.000000|157.000000|112600|
30|09:37:00|157.000000|157.000000|157.000000|157.000000|40000|
31|09:38:00|157.000000|157.000000|157.000000|157.000000|312600|
32|09:39:00|157.000000|157.000000|157.000000|157.000000|404400|
33|09:40:00|157.000000|158.000000|157.000000|158.000000|517800|
34|09:41:00|158.000000|158.000000|157.000000|157.000000|661800|
35|09:42:00|157.000000|157.000000|157.000000|157.000000|552000|
36|09:43:00|157.000000|157.000000|157.000000|157.000000|818800|
37|09:44:00|157.000000|158.000000|157.000000|158.000000|120000|
38|09:45:00|158.000000|158.000000|157.000000|158.000000|143600|
39|09:47:00|157.000000|157.000000|157.000000|157.000000|335200|
40|09:48:00|157.000000|158.000000|156.000000|157.000000|569600|
41|09:49:00|157.000000|157.000000|156.000000|156.000000|364600|
42|09:50:00|157.000000|157.000000|155.000000|155.000000|973400|
43|09:52:00|155.000000|155.000000|155.000000|155.000000|6600|
44|09:54:00|156.000000|156.000000|156.000000|156.000000|600|
45|09:56:00|156.000000|156.000000|156.000000|156.000000|2000|
46|09:57:00|156.000000|157.000000|156.000000|157.000000|326800|
47|09:58:00|158.000000|158.000000|156.000000|157.000000|540800|
48|09:59:00|157.000000|157.000000|157.000000|157.000000|470800|
49|10:00:00|157.000000|157.000000|157.000000|157.000000|288200|
50|10:01:00|156.000000|156.000000|156.000000|156.000000|160000|
51|10:02:00|157.000000|157.000000|157.000000|157.000000|400|
52|10:03:00|157.000000|157.000000|157.000000|157.000000|46400|
53|10:04:00|157.000000|157.000000|157.000000|157.000000|1026000|
54|10:05:00|157.000000|157.000000|157.000000|157.000000|670000|
55|10:06:00|157.000000|157.000000|157.000000|157.000000|861600|
56|10:07:00|157.000000|157.000000|156.000000|157.000000|1238800|
57|10:09:00|156.000000|156.000000|156.000000|156.000000|263200|
58|10:10:00|156.000000|157.000000|155.000000|157.000000|1028000|
59|10:11:00|157.000000|160.000000|156.000000|156.000000|718800|
60|10:12:00|157.000000|157.000000|157.000000|157.000000|1000|
61|10:14:00|157.000000|157.000000|157.000000|157.000000|293600|
62|10:15:00|157.000000|157.000000|157.000000|157.000000|232800|
63|10:16:00|157.000000|157.000000|157.000000|157.000000|644600|
64|10:17:00|157.000000|157.000000|157.000000|157.000000|1057200|
65|10:21:00|158.000000|158.000000|158.000000|158.000000|40000|
66|10:24:00|158.000000|159.000000|158.000000|159.000000|225000|
67|10:25:00|159.000000|160.000000|159.000000|159.000000|486800|
68|10:28:00|160.000000|160.000000|159.000000|159.000000|32000|
69|10:30:00|159.000000|159.000000|159.000000|159.000000|80000|
70|10:31:00|159.000000|160.000000|159.000000|159.000000|386000|
71|10:32:00|159.000000|159.000000|159.000000|159.000000|555000|
72|10:33:00|159.000000|160.000000|159.000000|160.000000|435000|
73|10:34:00|159.000000|160.000000|159.000000|160.000000|415600|
74|10:35:00|160.000000|160.000000|160.000000|160.000000|433800|
75|10:36:00|160.000000|160.000000|160.000000|160.000000|1164800|
76|10:37:00|160.000000|160.000000|160.000000|160.000000|1113800|
77|10:38:00|160.000000|160.000000|160.000000|160.000000|245400|
78|10:39:00|160.000000|160.000000|160.000000|160.000000|152800|
79|10:40:00|159.000000|159.000000|159.000000|159.000000|196200|
80|10:41:00|160.000000|160.000000|160.000000|160.000000|661200|
81|10:42:00|160.000000|160.000000|160.000000|160.000000|369600|
82|10:50:00|160.000000|161.000000|160.000000|161.000000|172000|
83|10:51:00|160.000000|161.000000|160.000000|160.000000|215200|
84|10:52:00|160.000000|160.000000|160.000000|160.000000|1116400|
85|10:53:00|160.000000|160.000000|160.000000|160.000000|901000|
86|10:54:00|160.000000|161.000000|160.000000|161.000000|232400|
87|10:56:00|161.000000|161.000000|161.000000|161.000000|40000|
88|10:58:00|161.000000|161.000000|160.000000|160.000000|44000|
89|10:59:00|161.000000|161.000000|161.000000|161.000000|2000|
90|11:05:00|161.000000|161.000000|161.000000|161.000000|61000|
91|11:09:00|161.000000|161.000000|161.000000|161.000000|42000|
92|11:12:00|161.000000|161.000000|161.000000|161.000000|11000|
93|11:15:00|161.000000|161.000000|161.000000|161.000000|200|
94|11:20:00|161.000000|161.000000|161.000000|161.000000|30000|
95|11:21:00|160.000000|161.000000|160.000000|161.000000|102600|
96|11:30:00|161.000000|161.000000|161.000000|161.000000|303000|
97|11:31:00|161.000000|161.000000|161.000000|161.000000|442000|
98|11:32:00|160.000000|160.000000|160.000000|160.000000|46600|
99|11:33:00|161.000000|161.000000|161.000000|161.000000|279600|
100|11:34:00|161.000000|161.000000|161.000000|161.000000|113200|
101|11:36:00|162.000000|162.000000|162.000000|162.000000|416000|
102|11:37:00|162.000000|162.000000|161.000000|162.000000|728800|
103|11:38:00|162.000000|162.000000|162.000000|162.000000|228800|
104|11:39:00|162.000000|162.000000|162.000000|162.000000|752800|
105|11:40:00|162.000000|162.000000|161.000000|162.000000|612800|
106|11:55:00|161.000000|161.000000|161.000000|161.000000|200|x15=1
107|11:57:00|161.000000|161.000000|161.000000|161.000000|600|x15=1
108|13:30:00|161.000000|161.000000|161.000000|161.000000|3600|x3=40;x8=0;x10=1;x17=1
109|13:33:00|161.000000|161.000000|161.000000|161.000000|1000|x3=40;x8=0;x10=1;x17=1
110|13:35:00|161.000000|161.000000|161.000000|161.000000|101400|x3=40;x8=0;x10=1
111|13:36:00|161.000000|161.000000|161.000000|161.000000|507000|x3=40;x8=0;x10=1
112|13:37:00|161.000000|161.000000|161.000000|161.000000|622400|x3=40;x8=0;x10=1
113|13:38:00|161.000000|161.000000|161.000000|161.000000|312600|x3=40;x8=0;x10=1
114|13:40:00|161.000000|161.000000|161.000000|161.000000|114400|x3=40;x8=0;x10=1
115|13:42:00|161.000000|161.000000|161.000000|161.000000|620000|x3=40;x8=0;x10=1
116|13:44:00|161.000000|162.000000|161.000000|162.000000|212200|x3=40;x8=0;x10=1
117|13:45:00|162.000000|162.000000|162.000000|162.000000|778600|x3=40;x8=0;x10=1
118|13:46:00|162.000000|162.000000|162.000000|162.000000|609800|x3=40;x8=0;x10=1
119|13:47:00|162.000000|162.000000|162.000000|162.000000|179000|x3=40;x8=0;x10=1
120|13:48:00|162.000000|162.000000|162.000000|162.000000|218000|x3=40;x8=0;x10=1
121|13:50:00|161.000000|161.000000|161.000000|161.000000|322000|x3=40;x8=0;x10=1
122|13:51:00|161.000000|161.000000|161.000000|161.000000|176600|x3=40;x8=0;x10=1
123|13:52:00|161.000000|161.000000|161.000000|161.000000|607200|x3=40;x8=0;x10=1
124|13:53:00|161.000000|161.000000|161.000000|161.000000|108800|x3=40;x8=0;x10=1
125|13:54:00|161.000000|161.000000|161.000000|161.000000|192200|x3=40;x8=0;x10=1
126|13:55:00|161.000000|161.000000|161.000000|161.000000|415600|x3=40;x8=0;x10=1
127|13:56:00|161.000000|161.000000|161.000000|161.000000|270800|x3=40;x8=0;x10=1
128|13:57:00|162.000000|162.000000|162.000000|162.000000|200000|x3=40;x8=0;x10=1
129|13:58:00|162.000000|163.000000|162.000000|163.000000|251400|x3=40;x8=0;x10=1
130|13:59:00|163.000000|163.000000|163.000000|163.000000|150800|x3=40;x8=0;x10=1
131|14:00:00|163.000000|163.000000|163.000000|163.000000|52400|x3=40;x8=0;x10=1
132|14:05:00|163.000000|163.000000|163.000000|163.000000|111000|x3=40;x8=0;x10=1
133|14:07:00|163.000000|163.000000|163.000000|163.000000|365400|x3=40;x8=0;x10=1
134|14:08:00|163.000000|163.000000|163.000000|163.000000|820600|x3=40;x8=0;x10=1
135|14:09:00|163.000000|163.000000|163.000000|163.000000|854400|x3=40;x8=0;x10=1
136|14:12:00|162.000000|162.000000|162.000000|162.000000|8200|x3=40;x8=0;x10=1
137|14:15:00|163.000000|163.000000|163.000000|163.000000|80000|x3=40;x8=0;x10=1
138|14:17:00|163.000000|164.000000|163.000000|164.000000|101200|x3=40;x8=0;x10=1
139|14:18:00|163.000000|163.000000|163.000000|163.000000|400|x3=40;x8=0;x10=1
