source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
424989	DAAZ	2024-12-05 09:00:00	60		0	0	4520.000000	4990.000000	4520.000000	4980.000000	446600	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
424990	DAAZ	2024-12-05 09:01:00	60	60	0	0	4980.000000	4990.000000	4650.000000	4650.000000	532500	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
424991	DAAZ	2024-12-05 09:02:00	60	60	0	0	4660.000000	4740.000000	4400.000000	4530.000000	2211100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
424992	DAAZ	2024-12-05 09:03:00	60	60	0	0	4540.000000	4650.000000	4400.000000	4420.000000	925400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
424993	DAAZ	2024-12-05 09:04:00	60	60	0	0	4420.000000	4450.000000	4110.000000	4300.000000	866100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
424994	DAAZ	2024-12-05 09:05:00	60	60	0	0	4290.000000	4380.000000	4240.000000	4370.000000	470700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
424995	DAAZ	2024-12-05 09:06:00	60	60	0	0	4370.000000	4540.000000	4360.000000	4390.000000	528400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
424996	DAAZ	2024-12-05 09:07:00	60	60	0	0	4390.000000	4470.000000	4380.000000	4420.000000	296900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
424997	DAAZ	2024-12-05 09:08:00	60	60	0	0	4430.000000	4440.000000	4260.000000	4310.000000	711400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
424998	DAAZ	2024-12-05 09:09:00	60	60	0	0	4320.000000	4320.000000	4180.000000	4200.000000	416900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
424999	DAAZ	2024-12-05 09:10:00	60	60	0	0	4200.000000	4260.000000	4170.000000	4230.000000	396500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425000	DAAZ	2024-12-05 09:11:00	60	60	0	0	4240.000000	4360.000000	4240.000000	4360.000000	328400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425001	DAAZ	2024-12-05 09:12:00	60	60	0	0	4360.000000	4360.000000	4250.000000	4280.000000	259500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425002	DAAZ	2024-12-05 09:13:00	60	60	0	0	4270.000000	4270.000000	4020.000000	4120.000000	1427200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425003	DAAZ	2024-12-05 09:14:00	60	60	0	0	4110.000000	4160.000000	4060.000000	4100.000000	393100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425004	DAAZ	2024-12-05 09:15:00	60	60	0	0	4100.000000	4140.000000	4090.000000	4130.000000	168700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425005	DAAZ	2024-12-05 09:16:00	60	60	0	0	4140.000000	4210.000000	4140.000000	4210.000000	385400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425006	DAAZ	2024-12-05 09:17:00	60	60	0	0	4200.000000	4210.000000	4090.000000	4170.000000	346100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425007	DAAZ	2024-12-05 09:18:00	60	60	0	0	4170.000000	4250.000000	4160.000000	4230.000000	264400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425008	DAAZ	2024-12-05 09:19:00	60	60	0	0	4230.000000	4230.000000	4200.000000	4200.000000	105400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425009	DAAZ	2024-12-05 09:20:00	60	60	0	0	4200.000000	4250.000000	4180.000000	4250.000000	100000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425010	DAAZ	2024-12-05 09:21:00	60	60	0	0	4250.000000	4330.000000	4250.000000	4330.000000	300800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425011	DAAZ	2024-12-05 09:22:00	60	60	0	0	4310.000000	4340.000000	4270.000000	4280.000000	259200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425012	DAAZ	2024-12-05 09:23:00	60	60	0	0	4280.000000	4310.000000	4260.000000	4300.000000	145100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425013	DAAZ	2024-12-05 09:24:00	60	60	0	0	4300.000000	4320.000000	4300.000000	4310.000000	73800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425014	DAAZ	2024-12-05 09:25:00	60	60	0	0	4310.000000	4350.000000	4310.000000	4330.000000	102900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425015	DAAZ	2024-12-05 09:26:00	60	60	0	0	4340.000000	4380.000000	4330.000000	4370.000000	483700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425016	DAAZ	2024-12-05 09:27:00	60	60	0	0	4370.000000	4450.000000	4360.000000	4410.000000	310400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
425017	DAAZ	2024-12-05 09:28:00	60	60	0	0	4420.000000	4510.000000	4410.000000	4460.000000	548400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
