#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DAAZ|date=2024-12-05|rows=332|source_base=424989|compact_sha=ac4bf77614dbb0158215de23237f4a69fd2abad730362611002f89ca699c3764
defaults_json={"RAW_TICKER":"DAAZ","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|4520.000000|4990.000000|4520.000000|4980.000000|446600|x4=1;x5=1;x14=1
1|09:01:00|4980.000000|4990.000000|4650.000000|4650.000000|532500|x14=1
2|09:02:00|4660.000000|4740.000000|4400.000000|4530.000000|2211100|x14=1
3|09:03:00|4540.000000|4650.000000|4400.000000|4420.000000|925400|x14=1
4|09:04:00|4420.000000|4450.000000|4110.000000|4300.000000|866100|x14=1
5|09:05:00|4290.000000|4380.000000|4240.000000|4370.000000|470700|
6|09:06:00|4370.000000|4540.000000|4360.000000|4390.000000|528400|
7|09:07:00|4390.000000|4470.000000|4380.000000|4420.000000|296900|
8|09:08:00|4430.000000|4440.000000|4260.000000|4310.000000|711400|
9|09:09:00|4320.000000|4320.000000|4180.000000|4200.000000|416900|
10|09:10:00|4200.000000|4260.000000|4170.000000|4230.000000|396500|
11|09:11:00|4240.000000|4360.000000|4240.000000|4360.000000|328400|
12|09:12:00|4360.000000|4360.000000|4250.000000|4280.000000|259500|
13|09:13:00|4270.000000|4270.000000|4020.000000|4120.000000|1427200|
14|09:14:00|4110.000000|4160.000000|4060.000000|4100.000000|393100|
15|09:15:00|4100.000000|4140.000000|4090.000000|4130.000000|168700|
16|09:16:00|4140.000000|4210.000000|4140.000000|4210.000000|385400|
17|09:17:00|4200.000000|4210.000000|4090.000000|4170.000000|346100|
18|09:18:00|4170.000000|4250.000000|4160.000000|4230.000000|264400|
19|09:19:00|4230.000000|4230.000000|4200.000000|4200.000000|105400|
20|09:20:00|4200.000000|4250.000000|4180.000000|4250.000000|100000|
21|09:21:00|4250.000000|4330.000000|4250.000000|4330.000000|300800|
22|09:22:00|4310.000000|4340.000000|4270.000000|4280.000000|259200|
23|09:23:00|4280.000000|4310.000000|4260.000000|4300.000000|145100|
24|09:24:00|4300.000000|4320.000000|4300.000000|4310.000000|73800|
25|09:25:00|4310.000000|4350.000000|4310.000000|4330.000000|102900|
26|09:26:00|4340.000000|4380.000000|4330.000000|4370.000000|483700|
27|09:27:00|4370.000000|4450.000000|4360.000000|4410.000000|310400|
28|09:28:00|4420.000000|4510.000000|4410.000000|4460.000000|548400|
29|09:29:00|4450.000000|4470.000000|4370.000000|4430.000000|264700|
30|09:30:00|4430.000000|4430.000000|4380.000000|4420.000000|162100|
31|09:31:00|4430.000000|4430.000000|4400.000000|4410.000000|66900|
32|09:32:00|4410.000000|4460.000000|4400.000000|4460.000000|115500|
33|09:33:00|4460.000000|4470.000000|4430.000000|4440.000000|37900|
34|09:34:00|4450.000000|4640.000000|4430.000000|4590.000000|612300|
35|09:35:00|4590.000000|4600.000000|4490.000000|4500.000000|299300|
36|09:36:00|4500.000000|4580.000000|4490.000000|4580.000000|284600|
