source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
430160	DART	2024-12-05 09:03:00	60		0	0	185.000000	185.000000	185.000000	185.000000	100	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
430161	DART	2024-12-05 09:39:00	60	2160	1	0	183.000000	183.000000	183.000000	183.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430162	DART	2024-12-05 09:42:00	60	180	1	0	183.000000	183.000000	183.000000	183.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430163	DART	2024-12-05 09:46:00	60	240	1	0	182.000000	183.000000	181.000000	183.000000	12100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430164	DART	2024-12-05 10:01:00	60	900	1	0	183.000000	183.000000	183.000000	183.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430165	DART	2024-12-05 10:04:00	60	180	1	0	182.000000	182.000000	182.000000	182.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430166	DART	2024-12-05 10:06:00	60	120	1	0	182.000000	182.000000	182.000000	182.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430167	DART	2024-12-05 10:07:00	60	60	0	0	182.000000	182.000000	182.000000	182.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430168	DART	2024-12-05 10:28:00	60	1260	1	0	181.000000	182.000000	181.000000	182.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430169	DART	2024-12-05 10:47:00	60	1140	1	0	181.000000	181.000000	181.000000	181.000000	18300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430170	DART	2024-12-05 11:06:00	60	1140	1	0	181.000000	181.000000	181.000000	181.000000	9900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430171	DART	2024-12-05 11:17:00	60	660	1	0	181.000000	181.000000	181.000000	181.000000	50000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430172	DART	2024-12-05 11:18:00	60	60	0	0	181.000000	181.000000	181.000000	181.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430173	DART	2024-12-05 13:40:00	60	8520	1	0	181.000000	181.000000	181.000000	181.000000	1000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
430174	DART	2024-12-05 13:45:00	60	300	1	0	181.000000	181.000000	181.000000	181.000000	700	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
430175	DART	2024-12-05 14:02:00	60	1020	1	0	181.000000	181.000000	181.000000	181.000000	7900	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
430176	DART	2024-12-05 14:13:00	60	660	1	0	181.000000	181.000000	181.000000	181.000000	1000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
430177	DART	2024-12-05 14:32:00	60	1140	1	0	181.000000	181.000000	181.000000	181.000000	300	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
430178	DART	2024-12-05 14:54:00	60	1320	1	0	181.000000	181.000000	181.000000	181.000000	2200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
430179	DART	2024-12-05 15:19:00	60	1500	1	0	182.000000	182.000000	182.000000	182.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
430180	DART	2024-12-05 15:26:00	60	420	1	0	182.000000	182.000000	182.000000	182.000000	400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
430181	DART	2024-12-05 15:45:00	60	1140	1	0	181.000000	181.000000	181.000000	181.000000	1000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-1	-1	-1
