#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DART|date=2024-12-05|rows=22|source_base=430160|compact_sha=3de9dff292daaab09f2561c818d5a6df27e676cc492f4a07874a365d3d819ff1
defaults_json={"RAW_TICKER":"DART","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:03:00|185.000000|185.000000|185.000000|185.000000|100|x4=1;x5=1;x14=1
1|09:39:00|183.000000|183.000000|183.000000|183.000000|300|
2|09:42:00|183.000000|183.000000|183.000000|183.000000|2000|
3|09:46:00|182.000000|183.000000|181.000000|183.000000|12100|
4|10:01:00|183.000000|183.000000|183.000000|183.000000|100|
5|10:04:00|182.000000|182.000000|182.000000|182.000000|100|
6|10:06:00|182.000000|182.000000|182.000000|182.000000|100|
7|10:07:00|182.000000|182.000000|182.000000|182.000000|500|
8|10:28:00|181.000000|182.000000|181.000000|182.000000|200|
9|10:47:00|181.000000|181.000000|181.000000|181.000000|18300|
10|11:06:00|181.000000|181.000000|181.000000|181.000000|9900|
11|11:17:00|181.000000|181.000000|181.000000|181.000000|50000|
12|11:18:00|181.000000|181.000000|181.000000|181.000000|2000|
13|13:40:00|181.000000|181.000000|181.000000|181.000000|1000|x3=40;x8=0;x10=1
14|13:45:00|181.000000|181.000000|181.000000|181.000000|700|x3=40;x8=0;x10=1
15|14:02:00|181.000000|181.000000|181.000000|181.000000|7900|x3=40;x8=0;x10=1
16|14:13:00|181.000000|181.000000|181.000000|181.000000|1000|x3=40;x8=0;x10=1
17|14:32:00|181.000000|181.000000|181.000000|181.000000|300|x3=40;x8=0;x10=1
18|14:54:00|181.000000|181.000000|181.000000|181.000000|2200|x3=40;x8=0;x10=1
19|15:19:00|182.000000|182.000000|182.000000|182.000000|500|x3=40;x8=0;x10=1
20|15:26:00|182.000000|182.000000|182.000000|182.000000|400|x3=40;x8=0;x10=1
21|15:45:00|181.000000|181.000000|181.000000|181.000000|1000|x3=40;x8=0;x10=1;x18=1
