source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
432069	DATA	2024-12-05 09:00:00	60		0	0	750.000000	755.000000	745.000000	750.000000	10800	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
432070	DATA	2024-12-05 09:01:00	60	60	0	0	750.000000	750.000000	750.000000	750.000000	90200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
432071	DATA	2024-12-05 09:03:00	60	120	1	0	745.000000	745.000000	745.000000	745.000000	1800	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
432072	DATA	2024-12-05 09:04:00	60	60	0	0	745.000000	745.000000	745.000000	745.000000	22400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
432073	DATA	2024-12-05 09:05:00	60	60	0	0	745.000000	745.000000	745.000000	745.000000	125900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
432074	DATA	2024-12-05 09:06:00	60	60	0	0	745.000000	745.000000	745.000000	745.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
432075	DATA	2024-12-05 09:08:00	60	120	1	0	745.000000	745.000000	745.000000	745.000000	35000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
432076	DATA	2024-12-05 09:12:00	60	240	1	0	740.000000	740.000000	740.000000	740.000000	22400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
432077	DATA	2024-12-05 09:13:00	60	60	0	0	740.000000	740.000000	740.000000	740.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
432078	DATA	2024-12-05 09:14:00	60	60	0	0	740.000000	740.000000	740.000000	740.000000	50000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
