#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DATA|date=2024-12-05|rows=102|source_base=432069|compact_sha=33adbe6cc7fb9504d014a651259f81cf3eed8da6b702c66ac9942f57262deed2
defaults_json={"RAW_TICKER":"DATA","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|750.000000|755.000000|745.000000|750.000000|10800|x4=1;x5=1;x14=1
1|09:01:00|750.000000|750.000000|750.000000|750.000000|90200|x14=1
2|09:03:00|745.000000|745.000000|745.000000|745.000000|1800|x14=1
3|09:04:00|745.000000|745.000000|745.000000|745.000000|22400|x14=1
4|09:05:00|745.000000|745.000000|745.000000|745.000000|125900|
5|09:06:00|745.000000|745.000000|745.000000|745.000000|600|
6|09:08:00|745.000000|745.000000|745.000000|745.000000|35000|
7|09:12:00|740.000000|740.000000|740.000000|740.000000|22400|
8|09:13:00|740.000000|740.000000|740.000000|740.000000|300|
9|09:14:00|740.000000|740.000000|740.000000|740.000000|50000|
10|09:17:00|740.000000|740.000000|740.000000|740.000000|1000|
11|09:18:00|740.000000|740.000000|740.000000|740.000000|55200|
12|09:19:00|745.000000|745.000000|745.000000|745.000000|25000|
13|09:20:00|740.000000|740.000000|740.000000|740.000000|4000|
14|09:21:00|745.000000|745.000000|740.000000|740.000000|1600|
15|09:22:00|740.000000|740.000000|740.000000|740.000000|100|
16|09:25:00|740.000000|740.000000|740.000000|740.000000|200|
17|09:27:00|740.000000|740.000000|740.000000|740.000000|10000|
18|09:28:00|740.000000|740.000000|740.000000|740.000000|10000|
19|09:30:00|740.000000|740.000000|740.000000|740.000000|2500|
20|09:31:00|740.000000|740.000000|740.000000|740.000000|100|
21|09:33:00|740.000000|740.000000|740.000000|740.000000|500|
22|09:34:00|740.000000|740.000000|740.000000|740.000000|100|
23|09:35:00|745.000000|745.000000|745.000000|745.000000|1400|
24|09:37:00|740.000000|740.000000|740.000000|740.000000|400|
25|09:38:00|740.000000|740.000000|740.000000|740.000000|300|
26|09:41:00|740.000000|740.000000|740.000000|740.000000|2200|
27|09:42:00|740.000000|740.000000|740.000000|740.000000|100|
28|09:44:00|740.000000|740.000000|740.000000|740.000000|1400|
29|09:46:00|740.000000|740.000000|740.000000|740.000000|1000|
30|09:50:00|740.000000|740.000000|740.000000|740.000000|7100|
31|09:51:00|740.000000|740.000000|740.000000|740.000000|100|
32|09:52:00|740.000000|740.000000|740.000000|740.000000|10600|
33|09:53:00|740.000000|740.000000|740.000000|740.000000|100|
34|09:56:00|740.000000|740.000000|740.000000|740.000000|10100|
35|09:57:00|740.000000|740.000000|740.000000|740.000000|62200|
36|09:58:00|740.000000|740.000000|740.000000|740.000000|1500|
37|10:00:00|740.000000|740.000000|740.000000|740.000000|1000|
38|10:02:00|740.000000|740.000000|740.000000|740.000000|3600|
39|10:03:00|740.000000|740.000000|740.000000|740.000000|2000|
40|10:04:00|740.000000|740.000000|740.000000|740.000000|100|
41|10:07:00|740.000000|740.000000|740.000000|740.000000|200|
