source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
430545	DAYA	2024-12-05 09:00:00	60		0	0	605.000000	605.000000	570.000000	590.000000	400	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
430546	DAYA	2024-12-05 09:10:00	60	600	1	0	570.000000	570.000000	565.000000	565.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430547	DAYA	2024-12-05 09:12:00	60	120	1	0	565.000000	565.000000	565.000000	565.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430548	DAYA	2024-12-05 09:13:00	60	60	0	0	560.000000	560.000000	560.000000	560.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430549	DAYA	2024-12-05 09:14:00	60	60	0	0	565.000000	565.000000	565.000000	565.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430550	DAYA	2024-12-05 09:17:00	60	180	1	0	565.000000	565.000000	565.000000	565.000000	10000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430551	DAYA	2024-12-05 09:22:00	60	300	1	0	565.000000	565.000000	565.000000	565.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430552	DAYA	2024-12-05 09:23:00	60	60	0	0	565.000000	565.000000	565.000000	565.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430553	DAYA	2024-12-05 09:29:00	60	360	1	0	560.000000	560.000000	560.000000	560.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430554	DAYA	2024-12-05 09:30:00	60	60	0	0	555.000000	555.000000	555.000000	555.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430555	DAYA	2024-12-05 09:35:00	60	300	1	0	560.000000	560.000000	560.000000	560.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430556	DAYA	2024-12-05 09:37:00	60	120	1	0	560.000000	565.000000	560.000000	565.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430557	DAYA	2024-12-05 09:41:00	60	240	1	0	560.000000	560.000000	560.000000	560.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430558	DAYA	2024-12-05 09:42:00	60	60	0	0	565.000000	565.000000	565.000000	565.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430559	DAYA	2024-12-05 09:43:00	60	60	0	0	560.000000	560.000000	560.000000	560.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430560	DAYA	2024-12-05 09:46:00	60	180	1	0	560.000000	560.000000	560.000000	560.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430561	DAYA	2024-12-05 09:51:00	60	300	1	0	560.000000	560.000000	560.000000	560.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430562	DAYA	2024-12-05 09:57:00	60	360	1	0	560.000000	560.000000	560.000000	560.000000	1700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430563	DAYA	2024-12-05 09:59:00	60	120	1	0	565.000000	565.000000	565.000000	565.000000	10000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430564	DAYA	2024-12-05 10:01:00	60	120	1	0	565.000000	565.000000	565.000000	565.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430565	DAYA	2024-12-05 10:02:00	60	60	0	0	565.000000	565.000000	560.000000	560.000000	14100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430566	DAYA	2024-12-05 10:05:00	60	180	1	0	565.000000	565.000000	565.000000	565.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430567	DAYA	2024-12-05 10:08:00	60	180	1	0	560.000000	560.000000	560.000000	560.000000	2300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430568	DAYA	2024-12-05 10:09:00	60	60	0	0	565.000000	565.000000	565.000000	565.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430569	DAYA	2024-12-05 10:18:00	60	540	1	0	560.000000	560.000000	560.000000	560.000000	18900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430570	DAYA	2024-12-05 10:19:00	60	60	0	0	560.000000	565.000000	560.000000	565.000000	10000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430571	DAYA	2024-12-05 10:21:00	60	120	1	0	565.000000	565.000000	565.000000	565.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430572	DAYA	2024-12-05 10:47:00	60	1560	1	0	565.000000	570.000000	565.000000	570.000000	44100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430573	DAYA	2024-12-05 10:48:00	60	60	0	0	590.000000	610.000000	590.000000	610.000000	3500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430574	DAYA	2024-12-05 11:13:00	60	1500	1	0	570.000000	570.000000	570.000000	570.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430575	DAYA	2024-12-05 11:14:00	60	60	0	0	570.000000	595.000000	570.000000	595.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
430576	DAYA	2024-12-05 11:58:00	60	2640	1	0	570.000000	570.000000	570.000000	570.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
430577	DAYA	2024-12-05 11:59:00	60	60	0	0	585.000000	590.000000	585.000000	590.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
430578	DAYA	2024-12-05 14:31:00	60	9120	1	0	570.000000	570.000000	570.000000	570.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
430579	DAYA	2024-12-05 14:32:00	60	60	0	0	575.000000	595.000000	575.000000	595.000000	2200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
430580	DAYA	2024-12-05 15:39:00	60	4020	1	0	595.000000	595.000000	595.000000	595.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
