#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DAYA|date=2024-12-05|rows=36|source_base=430545|compact_sha=b40190d84485c24203a6e9ac017e9d844ff43724b84d852be4ed8470df85d7b4
defaults_json={"RAW_TICKER":"DAYA","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|605.000000|605.000000|570.000000|590.000000|400|x4=1;x5=1;x14=1
1|09:10:00|570.000000|570.000000|565.000000|565.000000|900|
2|09:12:00|565.000000|565.000000|565.000000|565.000000|100|
3|09:13:00|560.000000|560.000000|560.000000|560.000000|300|
4|09:14:00|565.000000|565.000000|565.000000|565.000000|100|
5|09:17:00|565.000000|565.000000|565.000000|565.000000|10000|
6|09:22:00|565.000000|565.000000|565.000000|565.000000|200|
7|09:23:00|565.000000|565.000000|565.000000|565.000000|200|
8|09:29:00|560.000000|560.000000|560.000000|560.000000|400|
9|09:30:00|555.000000|555.000000|555.000000|555.000000|400|
10|09:35:00|560.000000|560.000000|560.000000|560.000000|100|
11|09:37:00|560.000000|565.000000|560.000000|565.000000|200|
12|09:41:00|560.000000|560.000000|560.000000|560.000000|600|
13|09:42:00|565.000000|565.000000|565.000000|565.000000|300|
14|09:43:00|560.000000|560.000000|560.000000|560.000000|400|
15|09:46:00|560.000000|560.000000|560.000000|560.000000|800|
16|09:51:00|560.000000|560.000000|560.000000|560.000000|300|
17|09:57:00|560.000000|560.000000|560.000000|560.000000|1700|
18|09:59:00|565.000000|565.000000|565.000000|565.000000|10000|
19|10:01:00|565.000000|565.000000|565.000000|565.000000|100|
20|10:02:00|565.000000|565.000000|560.000000|560.000000|14100|
21|10:05:00|565.000000|565.000000|565.000000|565.000000|200|
22|10:08:00|560.000000|560.000000|560.000000|560.000000|2300|
23|10:09:00|565.000000|565.000000|565.000000|565.000000|100|
24|10:18:00|560.000000|560.000000|560.000000|560.000000|18900|
25|10:19:00|560.000000|565.000000|560.000000|565.000000|10000|
26|10:21:00|565.000000|565.000000|565.000000|565.000000|100|
27|10:47:00|565.000000|570.000000|565.000000|570.000000|44100|
28|10:48:00|590.000000|610.000000|590.000000|610.000000|3500|
29|11:13:00|570.000000|570.000000|570.000000|570.000000|200|
30|11:14:00|570.000000|595.000000|570.000000|595.000000|1000|
31|11:58:00|570.000000|570.000000|570.000000|570.000000|100|x15=1
32|11:59:00|585.000000|590.000000|585.000000|590.000000|200|x15=1
33|14:31:00|570.000000|570.000000|570.000000|570.000000|100|x3=40;x8=0;x10=1
34|14:32:00|575.000000|595.000000|575.000000|595.000000|2200|x3=40;x8=0;x10=1
35|15:39:00|595.000000|595.000000|595.000000|595.000000|100|x3=40;x8=0;x10=1
