source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
431401	DEPO	2024-12-05 09:06:00	60		0	0	250.000000	250.000000	250.000000	250.000000	500	20	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
431402	DEPO	2024-12-05 09:07:00	60	60	0	0	252.000000	254.000000	252.000000	254.000000	1200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
431403	DEPO	2024-12-05 09:08:00	60	60	0	0	256.000000	258.000000	244.000000	244.000000	1300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
431404	DEPO	2024-12-05 09:10:00	60	120	1	0	244.000000	244.000000	244.000000	244.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
431405	DEPO	2024-12-05 09:31:00	60	1260	1	0	242.000000	242.000000	242.000000	242.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
431406	DEPO	2024-12-05 10:13:00	60	2520	1	0	242.000000	242.000000	242.000000	242.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
431407	DEPO	2024-12-05 10:25:00	60	720	1	0	242.000000	242.000000	242.000000	242.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
431408	DEPO	2024-12-05 10:26:00	60	60	0	0	242.000000	242.000000	242.000000	242.000000	2500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
431409	DEPO	2024-12-05 13:30:00	60	11040	1	0	242.000000	242.000000	242.000000	242.000000	1000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
431410	DEPO	2024-12-05 13:36:00	60	360	1	0	242.000000	242.000000	242.000000	242.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
431411	DEPO	2024-12-05 13:37:00	60	60	0	0	242.000000	242.000000	242.000000	242.000000	300	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
431412	DEPO	2024-12-05 13:38:00	60	60	0	0	242.000000	242.000000	242.000000	242.000000	3500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
