#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DEPO|date=2024-12-05|rows=24|source_base=431401|compact_sha=ea8aa6532bfd0fd8e6c0a083e83bb0fc1ff86746c4f5794b3f98633924858876
defaults_json={"RAW_TICKER":"DEPO","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"40","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"0","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"1","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:06:00|250.000000|250.000000|250.000000|250.000000|500|x3=20;x4=1;x5=1;x8=1;x10=0
1|09:07:00|252.000000|254.000000|252.000000|254.000000|1200|x3=20;x8=1;x10=0
2|09:08:00|256.000000|258.000000|244.000000|244.000000|1300|x3=20;x8=1;x10=0
3|09:10:00|244.000000|244.000000|244.000000|244.000000|400|x3=20;x8=1;x10=0
4|09:31:00|242.000000|242.000000|242.000000|242.000000|400|x3=20;x8=1;x10=0
5|10:13:00|242.000000|242.000000|242.000000|242.000000|300|x3=20;x8=1;x10=0
6|10:25:00|242.000000|242.000000|242.000000|242.000000|300|x3=20;x8=1;x10=0
7|10:26:00|242.000000|242.000000|242.000000|242.000000|2500|x3=20;x8=1;x10=0
8|13:30:00|242.000000|242.000000|242.000000|242.000000|1000|x17=1
9|13:36:00|242.000000|242.000000|242.000000|242.000000|200|
10|13:37:00|242.000000|242.000000|242.000000|242.000000|300|
11|13:38:00|242.000000|242.000000|242.000000|242.000000|3500|
12|14:00:00|240.000000|244.000000|240.000000|244.000000|300|
13|14:05:00|244.000000|244.000000|244.000000|244.000000|200|
14|14:09:00|240.000000|244.000000|240.000000|244.000000|800|
15|14:14:00|244.000000|244.000000|244.000000|244.000000|1300|
16|14:17:00|244.000000|244.000000|244.000000|244.000000|600|
17|14:32:00|250.000000|250.000000|250.000000|250.000000|400|
18|14:34:00|250.000000|252.000000|250.000000|252.000000|1600|
19|15:09:00|250.000000|250.000000|250.000000|250.000000|100|
20|15:24:00|244.000000|244.000000|244.000000|244.000000|3300|
21|15:43:00|246.000000|246.000000|246.000000|246.000000|100|
22|16:00:00|246.000000|246.000000|246.000000|246.000000|100|x3=51;x10=0
23|16:04:00|246.000000|246.000000|246.000000|246.000000|500|x3=60;x10=0;x12=1
