source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
434805	DEWA	2024-12-05 09:00:00	60		0	0	118.000000	118.000000	115.000000	116.000000	17967300	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
434806	DEWA	2024-12-05 09:01:00	60	60	0	0	116.000000	117.000000	115.000000	117.000000	6098000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
434807	DEWA	2024-12-05 09:02:00	60	60	0	0	117.000000	117.000000	116.000000	117.000000	4136200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
434808	DEWA	2024-12-05 09:03:00	60	60	0	0	117.000000	117.000000	116.000000	117.000000	12276000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
434809	DEWA	2024-12-05 09:04:00	60	60	0	0	116.000000	117.000000	115.000000	116.000000	13385900	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
434810	DEWA	2024-12-05 09:05:00	60	60	0	0	115.000000	116.000000	113.000000	114.000000	17544800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434811	DEWA	2024-12-05 09:06:00	60	60	0	0	114.000000	115.000000	114.000000	114.000000	1737400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434812	DEWA	2024-12-05 09:07:00	60	60	0	0	115.000000	115.000000	113.000000	114.000000	15884300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434813	DEWA	2024-12-05 09:08:00	60	60	0	0	114.000000	115.000000	114.000000	114.000000	2451000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434814	DEWA	2024-12-05 09:09:00	60	60	0	0	114.000000	115.000000	114.000000	114.000000	548700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434815	DEWA	2024-12-05 09:10:00	60	60	0	0	114.000000	115.000000	114.000000	115.000000	5049000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434816	DEWA	2024-12-05 09:11:00	60	60	0	0	115.000000	116.000000	115.000000	116.000000	598500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434817	DEWA	2024-12-05 09:12:00	60	60	0	0	115.000000	116.000000	114.000000	115.000000	3567300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434818	DEWA	2024-12-05 09:13:00	60	60	0	0	114.000000	115.000000	114.000000	114.000000	743600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434819	DEWA	2024-12-05 09:14:00	60	60	0	0	115.000000	115.000000	113.000000	114.000000	6316600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434820	DEWA	2024-12-05 09:15:00	60	60	0	0	114.000000	114.000000	114.000000	114.000000	627000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434821	DEWA	2024-12-05 09:16:00	60	60	0	0	114.000000	114.000000	114.000000	114.000000	691000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434822	DEWA	2024-12-05 09:17:00	60	60	0	0	115.000000	115.000000	114.000000	115.000000	1185000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434823	DEWA	2024-12-05 09:18:00	60	60	0	0	115.000000	115.000000	114.000000	114.000000	270200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434824	DEWA	2024-12-05 09:19:00	60	60	0	0	114.000000	115.000000	114.000000	114.000000	558300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434825	DEWA	2024-12-05 09:20:00	60	60	0	0	114.000000	115.000000	114.000000	115.000000	407600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434826	DEWA	2024-12-05 09:21:00	60	60	0	0	114.000000	115.000000	114.000000	114.000000	106700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434827	DEWA	2024-12-05 09:22:00	60	60	0	0	114.000000	115.000000	114.000000	114.000000	2800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434828	DEWA	2024-12-05 09:23:00	60	60	0	0	114.000000	114.000000	114.000000	114.000000	335000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434829	DEWA	2024-12-05 09:24:00	60	60	0	0	114.000000	115.000000	114.000000	115.000000	284800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434830	DEWA	2024-12-05 09:25:00	60	60	0	0	114.000000	115.000000	114.000000	114.000000	1298700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434831	DEWA	2024-12-05 09:26:00	60	60	0	0	114.000000	114.000000	114.000000	114.000000	56500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434832	DEWA	2024-12-05 09:27:00	60	60	0	0	114.000000	114.000000	114.000000	114.000000	71900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434833	DEWA	2024-12-05 09:28:00	60	60	0	0	114.000000	115.000000	114.000000	114.000000	125500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434834	DEWA	2024-12-05 09:29:00	60	60	0	0	115.000000	115.000000	114.000000	114.000000	14100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434835	DEWA	2024-12-05 09:30:00	60	60	0	0	115.000000	115.000000	114.000000	115.000000	285600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
434836	DEWA	2024-12-05 09:31:00	60	60	0	0	115.000000	115.000000	114.000000	114.000000	28300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
