#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DEWA|date=2024-12-05|rows=329|source_base=434805|compact_sha=b0b0038afec39d11a0b178c7ab83fe907b711c5965c90ce06144c8b35e5a5c3e
defaults_json={"RAW_TICKER":"DEWA","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|118.000000|118.000000|115.000000|116.000000|17967300|x4=1;x5=1;x14=1
1|09:01:00|116.000000|117.000000|115.000000|117.000000|6098000|x14=1
2|09:02:00|117.000000|117.000000|116.000000|117.000000|4136200|x14=1
3|09:03:00|117.000000|117.000000|116.000000|117.000000|12276000|x14=1
4|09:04:00|116.000000|117.000000|115.000000|116.000000|13385900|x14=1
5|09:05:00|115.000000|116.000000|113.000000|114.000000|17544800|
6|09:06:00|114.000000|115.000000|114.000000|114.000000|1737400|
7|09:07:00|115.000000|115.000000|113.000000|114.000000|15884300|
8|09:08:00|114.000000|115.000000|114.000000|114.000000|2451000|
9|09:09:00|114.000000|115.000000|114.000000|114.000000|548700|
10|09:10:00|114.000000|115.000000|114.000000|115.000000|5049000|
11|09:11:00|115.000000|116.000000|115.000000|116.000000|598500|
12|09:12:00|115.000000|116.000000|114.000000|115.000000|3567300|
13|09:13:00|114.000000|115.000000|114.000000|114.000000|743600|
14|09:14:00|115.000000|115.000000|113.000000|114.000000|6316600|
15|09:15:00|114.000000|114.000000|114.000000|114.000000|627000|
16|09:16:00|114.000000|114.000000|114.000000|114.000000|691000|
17|09:17:00|115.000000|115.000000|114.000000|115.000000|1185000|
18|09:18:00|115.000000|115.000000|114.000000|114.000000|270200|
19|09:19:00|114.000000|115.000000|114.000000|114.000000|558300|
20|09:20:00|114.000000|115.000000|114.000000|115.000000|407600|
21|09:21:00|114.000000|115.000000|114.000000|114.000000|106700|
22|09:22:00|114.000000|115.000000|114.000000|114.000000|2800|
23|09:23:00|114.000000|114.000000|114.000000|114.000000|335000|
24|09:24:00|114.000000|115.000000|114.000000|115.000000|284800|
25|09:25:00|114.000000|115.000000|114.000000|114.000000|1298700|
26|09:26:00|114.000000|114.000000|114.000000|114.000000|56500|
27|09:27:00|114.000000|114.000000|114.000000|114.000000|71900|
28|09:28:00|114.000000|115.000000|114.000000|114.000000|125500|
29|09:29:00|115.000000|115.000000|114.000000|114.000000|14100|
30|09:30:00|115.000000|115.000000|114.000000|115.000000|285600|
31|09:31:00|115.000000|115.000000|114.000000|114.000000|28300|
32|09:32:00|114.000000|115.000000|114.000000|114.000000|115300|
33|09:33:00|114.000000|115.000000|114.000000|114.000000|208700|
34|09:34:00|114.000000|115.000000|114.000000|115.000000|50500|
35|09:35:00|114.000000|115.000000|114.000000|115.000000|55500|
36|09:36:00|115.000000|115.000000|114.000000|115.000000|157100|
37|09:37:00|115.000000|115.000000|115.000000|115.000000|18300|
38|09:38:00|115.000000|115.000000|114.000000|115.000000|1180300|
39|09:39:00|115.000000|115.000000|114.000000|115.000000|415000|
40|09:40:00|115.000000|116.000000|115.000000|115.000000|4237500|
