source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
440030	DEWI	2024-12-05 09:00:00	60		0	0	86.000000	86.000000	86.000000	86.000000	723700	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
440031	DEWI	2024-12-05 09:01:00	60	60	0	0	86.000000	86.000000	86.000000	86.000000	329200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
440032	DEWI	2024-12-05 09:02:00	60	60	0	0	86.000000	86.000000	86.000000	86.000000	2100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
440033	DEWI	2024-12-05 09:03:00	60	60	0	0	86.000000	86.000000	86.000000	86.000000	1100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
440034	DEWI	2024-12-05 09:04:00	60	60	0	0	86.000000	86.000000	85.000000	85.000000	3900	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
440035	DEWI	2024-12-05 09:05:00	60	60	0	0	86.000000	86.000000	86.000000	86.000000	1400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440036	DEWI	2024-12-05 09:06:00	60	60	0	0	86.000000	86.000000	86.000000	86.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440037	DEWI	2024-12-05 09:07:00	60	60	0	0	86.000000	86.000000	86.000000	86.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440038	DEWI	2024-12-05 09:09:00	60	120	1	0	85.000000	85.000000	85.000000	85.000000	6000000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440039	DEWI	2024-12-05 09:10:00	60	60	0	0	86.000000	86.000000	86.000000	86.000000	4000000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440040	DEWI	2024-12-05 09:11:00	60	60	0	0	85.000000	86.000000	85.000000	86.000000	1948100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440041	DEWI	2024-12-05 09:12:00	60	60	0	0	85.000000	86.000000	85.000000	86.000000	705800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440042	DEWI	2024-12-05 09:13:00	60	60	0	0	86.000000	87.000000	86.000000	87.000000	156700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440043	DEWI	2024-12-05 09:14:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440044	DEWI	2024-12-05 09:15:00	60	60	0	0	87.000000	87.000000	86.000000	86.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440045	DEWI	2024-12-05 09:16:00	60	60	0	0	86.000000	86.000000	85.000000	86.000000	367300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440046	DEWI	2024-12-05 09:17:00	60	60	0	0	86.000000	87.000000	86.000000	87.000000	20100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440047	DEWI	2024-12-05 09:18:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440048	DEWI	2024-12-05 09:19:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440049	DEWI	2024-12-05 09:20:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	11800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440050	DEWI	2024-12-05 09:21:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440051	DEWI	2024-12-05 09:22:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	1100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440052	DEWI	2024-12-05 09:23:00	60	60	0	0	87.000000	87.000000	86.000000	87.000000	11200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440053	DEWI	2024-12-05 09:24:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440054	DEWI	2024-12-05 09:25:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440055	DEWI	2024-12-05 09:26:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440056	DEWI	2024-12-05 09:27:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440057	DEWI	2024-12-05 09:28:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440058	DEWI	2024-12-05 09:29:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440059	DEWI	2024-12-05 09:30:00	60	60	0	0	85.000000	85.000000	85.000000	85.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440060	DEWI	2024-12-05 09:31:00	60	60	0	0	87.000000	87.000000	86.000000	86.000000	1300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440061	DEWI	2024-12-05 09:32:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440062	DEWI	2024-12-05 09:33:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
440063	DEWI	2024-12-05 09:34:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	13700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
