#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DEWI|date=2024-12-05|rows=238|source_base=440030|compact_sha=668368d8be1fff911be5f6703a921ad84be05a2f16bc1fd88adcc84cad5c6095
defaults_json={"RAW_TICKER":"DEWI","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|86.000000|86.000000|86.000000|86.000000|723700|x4=1;x5=1;x14=1
1|09:01:00|86.000000|86.000000|86.000000|86.000000|329200|x14=1
2|09:02:00|86.000000|86.000000|86.000000|86.000000|2100|x14=1
3|09:03:00|86.000000|86.000000|86.000000|86.000000|1100|x14=1
4|09:04:00|86.000000|86.000000|85.000000|85.000000|3900|x14=1
5|09:05:00|86.000000|86.000000|86.000000|86.000000|1400|
6|09:06:00|86.000000|86.000000|86.000000|86.000000|700|
7|09:07:00|86.000000|86.000000|86.000000|86.000000|800|
8|09:09:00|85.000000|85.000000|85.000000|85.000000|6000000|
9|09:10:00|86.000000|86.000000|86.000000|86.000000|4000000|
10|09:11:00|85.000000|86.000000|85.000000|86.000000|1948100|
11|09:12:00|85.000000|86.000000|85.000000|86.000000|705800|
12|09:13:00|86.000000|87.000000|86.000000|87.000000|156700|
13|09:14:00|87.000000|87.000000|87.000000|87.000000|1000|
14|09:15:00|87.000000|87.000000|86.000000|86.000000|1000|
15|09:16:00|86.000000|86.000000|85.000000|86.000000|367300|
16|09:17:00|86.000000|87.000000|86.000000|87.000000|20100|
17|09:18:00|87.000000|87.000000|87.000000|87.000000|900|
18|09:19:00|87.000000|87.000000|87.000000|87.000000|100|
19|09:20:00|87.000000|87.000000|87.000000|87.000000|11800|
20|09:21:00|87.000000|87.000000|87.000000|87.000000|900|
21|09:22:00|87.000000|87.000000|87.000000|87.000000|1100|
22|09:23:00|87.000000|87.000000|86.000000|87.000000|11200|
23|09:24:00|87.000000|87.000000|87.000000|87.000000|800|
24|09:25:00|87.000000|87.000000|87.000000|87.000000|700|
25|09:26:00|87.000000|87.000000|87.000000|87.000000|600|
26|09:27:00|87.000000|87.000000|87.000000|87.000000|700|
27|09:28:00|87.000000|87.000000|87.000000|87.000000|600|
28|09:29:00|87.000000|87.000000|87.000000|87.000000|100|
29|09:30:00|85.000000|85.000000|85.000000|85.000000|100|
30|09:31:00|87.000000|87.000000|86.000000|86.000000|1300|
31|09:32:00|87.000000|87.000000|87.000000|87.000000|600|
32|09:33:00|87.000000|87.000000|87.000000|87.000000|100|
33|09:34:00|87.000000|87.000000|87.000000|87.000000|13700|
34|09:35:00|87.000000|87.000000|87.000000|87.000000|200|
35|09:36:00|87.000000|87.000000|87.000000|87.000000|500|
36|09:37:00|87.000000|87.000000|87.000000|87.000000|800|
37|09:38:00|87.000000|87.000000|87.000000|87.000000|600|
38|09:39:00|87.000000|87.000000|87.000000|87.000000|500|
39|09:40:00|87.000000|87.000000|87.000000|87.000000|400|
40|09:42:00|87.000000|87.000000|87.000000|87.000000|200|
41|09:43:00|87.000000|87.000000|87.000000|87.000000|800|
42|09:44:00|87.000000|87.000000|87.000000|87.000000|700|
43|09:45:00|87.000000|87.000000|87.000000|87.000000|100|
44|09:46:00|87.000000|87.000000|87.000000|87.000000|100|
45|09:47:00|87.000000|87.000000|87.000000|87.000000|100|
46|09:48:00|87.000000|87.000000|87.000000|87.000000|200|
47|09:50:00|87.000000|87.000000|87.000000|87.000000|300|
48|09:51:00|87.000000|87.000000|87.000000|87.000000|200|
49|09:52:00|87.000000|87.000000|87.000000|87.000000|500|
50|09:53:00|87.000000|87.000000|87.000000|87.000000|400|
51|09:54:00|86.000000|87.000000|86.000000|87.000000|21600|
52|09:56:00|85.000000|87.000000|85.000000|87.000000|800|
53|09:59:00|87.000000|87.000000|87.000000|87.000000|500|
54|10:00:00|87.000000|87.000000|87.000000|87.000000|100|
55|10:01:00|85.000000|85.000000|85.000000|85.000000|100|
56|10:02:00|87.000000|87.000000|87.000000|87.000000|800|
57|10:03:00|87.000000|87.000000|87.000000|87.000000|500|
58|10:04:00|87.000000|87.000000|87.000000|87.000000|100|
59|10:05:00|87.000000|87.000000|87.000000|87.000000|300|
60|10:06:00|87.000000|87.000000|87.000000|87.000000|100|
61|10:07:00|87.000000|87.000000|87.000000|87.000000|500|
62|10:08:00|87.000000|87.000000|87.000000|87.000000|200|
63|10:09:00|87.000000|87.000000|86.000000|86.000000|500|
64|10:10:00|86.000000|86.000000|86.000000|86.000000|19600|
65|10:11:00|86.000000|87.000000|86.000000|87.000000|20200|
66|10:12:00|87.000000|87.000000|87.000000|87.000000|200|
67|10:13:00|86.000000|86.000000|86.000000|86.000000|200|
68|10:15:00|87.000000|87.000000|87.000000|87.000000|200|
69|10:16:00|85.000000|87.000000|85.000000|87.000000|600|
70|10:18:00|87.000000|87.000000|87.000000|87.000000|100|
71|10:19:00|87.000000|87.000000|87.000000|87.000000|600|
72|10:20:00|87.000000|87.000000|87.000000|87.000000|400|
73|10:21:00|87.000000|87.000000|87.000000|87.000000|300|
74|10:22:00|87.000000|87.000000|87.000000|87.000000|300|
75|10:23:00|87.000000|87.000000|87.000000|87.000000|800|
76|10:24:00|87.000000|87.000000|87.000000|87.000000|100|
77|10:25:00|87.000000|87.000000|87.000000|87.000000|300|
78|10:27:00|87.000000|87.000000|87.000000|87.000000|100|
79|10:29:00|87.000000|87.000000|87.000000|87.000000|100|
80|10:30:00|87.000000|87.000000|87.000000|87.000000|100|
81|10:31:00|87.000000|87.000000|87.000000|87.000000|200|
82|10:32:00|87.000000|87.000000|87.000000|87.000000|300|
83|10:33:00|87.000000|87.000000|87.000000|87.000000|100|
84|10:34:00|87.000000|87.000000|87.000000|87.000000|400|
85|10:35:00|87.000000|87.000000|87.000000|87.000000|600|
86|10:36:00|87.000000|87.000000|87.000000|87.000000|100|
87|10:37:00|87.000000|87.000000|87.000000|87.000000|200|
88|10:39:00|87.000000|87.000000|87.000000|87.000000|400|
