source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
444457	DGIK	2024-12-05 09:22:00	60		0	0	80.000000	80.000000	80.000000	80.000000	1100	20	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444458	DGIK	2024-12-05 09:37:00	60	900	1	0	80.000000	80.000000	80.000000	80.000000	25000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444459	DGIK	2024-12-05 09:47:00	60	600	1	0	81.000000	81.000000	81.000000	81.000000	10050000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444460	DGIK	2024-12-05 09:48:00	60	60	0	0	81.000000	81.000000	81.000000	81.000000	95000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444461	DGIK	2024-12-05 09:49:00	60	60	0	0	81.000000	81.000000	81.000000	81.000000	11100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444462	DGIK	2024-12-05 09:50:00	60	60	0	0	81.000000	81.000000	81.000000	81.000000	229600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444463	DGIK	2024-12-05 09:51:00	60	60	0	0	81.000000	81.000000	81.000000	81.000000	500000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444464	DGIK	2024-12-05 09:52:00	60	60	0	0	81.000000	81.000000	81.000000	81.000000	3200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444465	DGIK	2024-12-05 09:53:00	60	60	0	0	82.000000	82.000000	82.000000	82.000000	114800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444466	DGIK	2024-12-05 09:54:00	60	60	0	0	81.000000	81.000000	81.000000	81.000000	197300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444467	DGIK	2024-12-05 09:56:00	60	120	1	0	81.000000	82.000000	81.000000	82.000000	2800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444468	DGIK	2024-12-05 10:06:00	60	600	1	0	82.000000	82.000000	82.000000	82.000000	1300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444469	DGIK	2024-12-05 11:01:00	60	3300	1	0	82.000000	82.000000	82.000000	82.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444470	DGIK	2024-12-05 11:03:00	60	120	1	0	81.000000	81.000000	81.000000	81.000000	41400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444471	DGIK	2024-12-05 11:07:00	60	240	1	0	80.000000	80.000000	80.000000	80.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444472	DGIK	2024-12-05 11:38:00	60	1860	1	0	81.000000	81.000000	81.000000	81.000000	3000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444473	DGIK	2024-12-05 11:40:00	60	120	1	0	81.000000	81.000000	81.000000	81.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444474	DGIK	2024-12-05 11:50:00	60	600	1	0	81.000000	81.000000	81.000000	81.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
444475	DGIK	2024-12-05 13:30:00	60	6000	1	0	82.000000	82.000000	82.000000	82.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
444476	DGIK	2024-12-05 13:42:00	60	720	1	0	82.000000	82.000000	82.000000	82.000000	600	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
444477	DGIK	2024-12-05 13:46:00	60	240	1	0	81.000000	81.000000	81.000000	81.000000	833800	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
444478	DGIK	2024-12-05 13:47:00	60	60	0	0	81.000000	81.000000	81.000000	81.000000	280000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
444479	DGIK	2024-12-05 13:48:00	60	60	0	0	81.000000	81.000000	81.000000	81.000000	30400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
444480	DGIK	2024-12-05 14:08:00	60	1200	1	0	80.000000	80.000000	80.000000	80.000000	1339600	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
444481	DGIK	2024-12-05 14:11:00	60	180	1	0	80.000000	80.000000	80.000000	80.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
444482	DGIK	2024-12-05 14:16:00	60	300	1	0	80.000000	80.000000	80.000000	80.000000	111100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
