#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DGIK|date=2024-12-05|rows=44|source_base=444457|compact_sha=246cf4f7fd7fad482fa64fdb32abfc84531be08e546807c08ad3b7a1d019b441
defaults_json={"RAW_TICKER":"DGIK","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"40","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"0","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"1","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:22:00|80.000000|80.000000|80.000000|80.000000|1100|x3=20;x4=1;x5=1;x8=1;x10=0
1|09:37:00|80.000000|80.000000|80.000000|80.000000|25000|x3=20;x8=1;x10=0
2|09:47:00|81.000000|81.000000|81.000000|81.000000|10050000|x3=20;x8=1;x10=0
3|09:48:00|81.000000|81.000000|81.000000|81.000000|95000|x3=20;x8=1;x10=0
4|09:49:00|81.000000|81.000000|81.000000|81.000000|11100|x3=20;x8=1;x10=0
5|09:50:00|81.000000|81.000000|81.000000|81.000000|229600|x3=20;x8=1;x10=0
6|09:51:00|81.000000|81.000000|81.000000|81.000000|500000|x3=20;x8=1;x10=0
7|09:52:00|81.000000|81.000000|81.000000|81.000000|3200|x3=20;x8=1;x10=0
8|09:53:00|82.000000|82.000000|82.000000|82.000000|114800|x3=20;x8=1;x10=0
9|09:54:00|81.000000|81.000000|81.000000|81.000000|197300|x3=20;x8=1;x10=0
10|09:56:00|81.000000|82.000000|81.000000|82.000000|2800|x3=20;x8=1;x10=0
11|10:06:00|82.000000|82.000000|82.000000|82.000000|1300|x3=20;x8=1;x10=0
12|11:01:00|82.000000|82.000000|82.000000|82.000000|1000|x3=20;x8=1;x10=0
13|11:03:00|81.000000|81.000000|81.000000|81.000000|41400|x3=20;x8=1;x10=0
14|11:07:00|80.000000|80.000000|80.000000|80.000000|100|x3=20;x8=1;x10=0
15|11:38:00|81.000000|81.000000|81.000000|81.000000|3000|x3=20;x8=1;x10=0
16|11:40:00|81.000000|81.000000|81.000000|81.000000|500|x3=20;x8=1;x10=0
17|11:50:00|81.000000|81.000000|81.000000|81.000000|100|x3=20;x8=1;x10=0
18|13:30:00|82.000000|82.000000|82.000000|82.000000|100|x17=1
19|13:42:00|82.000000|82.000000|82.000000|82.000000|600|
20|13:46:00|81.000000|81.000000|81.000000|81.000000|833800|
21|13:47:00|81.000000|81.000000|81.000000|81.000000|280000|
22|13:48:00|81.000000|81.000000|81.000000|81.000000|30400|
23|14:08:00|80.000000|80.000000|80.000000|80.000000|1339600|
24|14:11:00|80.000000|80.000000|80.000000|80.000000|100|
25|14:16:00|80.000000|80.000000|80.000000|80.000000|111100|
26|14:17:00|80.000000|80.000000|80.000000|80.000000|12200|
27|14:21:00|79.000000|79.000000|79.000000|79.000000|47300|
28|14:23:00|80.000000|80.000000|79.000000|80.000000|1900|
29|14:24:00|80.000000|80.000000|80.000000|80.000000|2700|
30|14:26:00|80.000000|80.000000|80.000000|80.000000|200|
31|14:27:00|79.000000|80.000000|79.000000|80.000000|1400|
32|14:32:00|80.000000|80.000000|80.000000|80.000000|300|
33|14:38:00|79.000000|80.000000|79.000000|80.000000|4200|
