source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
445334	DGNS	2024-12-05 09:00:00	60		0	0	226.000000	226.000000	226.000000	226.000000	100	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
445335	DGNS	2024-12-05 09:09:00	60	540	1	0	224.000000	224.000000	224.000000	224.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
445336	DGNS	2024-12-05 09:12:00	60	180	1	0	222.000000	222.000000	222.000000	222.000000	15000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
445337	DGNS	2024-12-05 09:14:00	60	120	1	0	224.000000	224.000000	224.000000	224.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
445338	DGNS	2024-12-05 09:16:00	60	120	1	0	224.000000	224.000000	224.000000	224.000000	1100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
445339	DGNS	2024-12-05 09:20:00	60	240	1	0	224.000000	224.000000	224.000000	224.000000	20000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
445340	DGNS	2024-12-05 09:33:00	60	780	1	0	224.000000	224.000000	222.000000	222.000000	20100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
445341	DGNS	2024-12-05 09:38:00	60	300	1	0	224.000000	224.000000	224.000000	224.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
445342	DGNS	2024-12-05 09:48:00	60	600	1	0	226.000000	226.000000	226.000000	226.000000	3100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
445343	DGNS	2024-12-05 09:55:00	60	420	1	0	226.000000	226.000000	226.000000	226.000000	92400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
445344	DGNS	2024-12-05 09:57:00	60	120	1	0	228.000000	228.000000	228.000000	228.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
