#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DGNS|date=2024-12-05|rows=54|source_base=445334|compact_sha=87f39c4b5802f398fd72da157ca19ee338076f365a591211de3dd830c4e2a67f
defaults_json={"RAW_TICKER":"DGNS","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|226.000000|226.000000|226.000000|226.000000|100|x4=1;x5=1;x14=1
1|09:09:00|224.000000|224.000000|224.000000|224.000000|2000|
2|09:12:00|222.000000|222.000000|222.000000|222.000000|15000|
3|09:14:00|224.000000|224.000000|224.000000|224.000000|100|
4|09:16:00|224.000000|224.000000|224.000000|224.000000|1100|
5|09:20:00|224.000000|224.000000|224.000000|224.000000|20000|
6|09:33:00|224.000000|224.000000|222.000000|222.000000|20100|
7|09:38:00|224.000000|224.000000|224.000000|224.000000|900|
8|09:48:00|226.000000|226.000000|226.000000|226.000000|3100|
9|09:55:00|226.000000|226.000000|226.000000|226.000000|92400|
10|09:57:00|228.000000|228.000000|228.000000|228.000000|100|
11|10:01:00|228.000000|228.000000|228.000000|228.000000|100|
12|10:04:00|226.000000|228.000000|226.000000|228.000000|400|
13|10:06:00|228.000000|228.000000|226.000000|228.000000|700|
14|10:07:00|228.000000|228.000000|228.000000|228.000000|400|
15|10:13:00|228.000000|228.000000|228.000000|228.000000|100|
16|10:15:00|228.000000|228.000000|228.000000|228.000000|5000|
17|10:24:00|226.000000|226.000000|226.000000|226.000000|8300|
18|10:25:00|228.000000|228.000000|228.000000|228.000000|100|
19|10:28:00|226.000000|228.000000|226.000000|228.000000|102000|
20|10:35:00|226.000000|226.000000|226.000000|226.000000|300|
21|10:39:00|224.000000|226.000000|224.000000|226.000000|500|
22|10:46:00|224.000000|224.000000|224.000000|224.000000|9700|
23|11:13:00|222.000000|222.000000|222.000000|222.000000|700|
24|11:16:00|224.000000|224.000000|224.000000|224.000000|100|
25|11:25:00|224.000000|224.000000|224.000000|224.000000|1000|
26|11:30:00|222.000000|222.000000|222.000000|222.000000|3000|
27|11:31:00|224.000000|224.000000|224.000000|224.000000|100|
28|11:32:00|224.000000|224.000000|224.000000|224.000000|12300|
29|11:35:00|224.000000|224.000000|224.000000|224.000000|500|
30|11:42:00|222.000000|222.000000|222.000000|222.000000|100|
31|11:44:00|224.000000|224.000000|224.000000|224.000000|100|
32|11:48:00|224.000000|224.000000|224.000000|224.000000|100|
33|13:30:00|224.000000|224.000000|222.000000|224.000000|26100|x3=40;x8=0;x10=1;x17=1
34|13:31:00|224.000000|224.000000|224.000000|224.000000|1900|x3=40;x8=0;x10=1;x17=1
35|13:32:00|226.000000|226.000000|226.000000|226.000000|100|x3=40;x8=0;x10=1;x17=1
36|14:05:00|226.000000|226.000000|226.000000|226.000000|160000|x3=40;x8=0;x10=1
37|14:10:00|224.000000|224.000000|224.000000|224.000000|100|x3=40;x8=0;x10=1
38|14:17:00|226.000000|226.000000|224.000000|224.000000|72700|x3=40;x8=0;x10=1
39|14:22:00|224.000000|224.000000|224.000000|224.000000|2200|x3=40;x8=0;x10=1
40|14:25:00|228.000000|228.000000|228.000000|228.000000|100|x3=40;x8=0;x10=1
41|14:32:00|226.000000|226.000000|226.000000|226.000000|5000|x3=40;x8=0;x10=1
42|14:50:00|228.000000|228.000000|228.000000|228.000000|100|x3=40;x8=0;x10=1
43|14:56:00|226.000000|226.000000|226.000000|226.000000|7100|x3=40;x8=0;x10=1
44|15:16:00|226.000000|226.000000|226.000000|226.000000|12300|x3=40;x8=0;x10=1
45|15:20:00|226.000000|226.000000|226.000000|226.000000|800|x3=40;x8=0;x10=1
46|15:27:00|226.000000|226.000000|226.000000|226.000000|100|x3=40;x8=0;x10=1
47|15:28:00|226.000000|226.000000|226.000000|226.000000|200|x3=40;x8=0;x10=1
48|15:31:00|226.000000|226.000000|226.000000|226.000000|6800|x3=40;x8=0;x10=1
49|15:37:00|226.000000|226.000000|226.000000|226.000000|1200|x3=40;x8=0;x10=1
50|15:42:00|226.000000|226.000000|226.000000|226.000000|2300|x3=40;x8=0;x10=1
51|15:49:00|226.000000|226.000000|226.000000|226.000000|1100|x3=40;x8=0;x10=1;x18=1
52|16:00:00|228.000000|228.000000|228.000000|228.000000|300|x3=51;x8=0
53|16:01:00|228.000000|228.000000|228.000000|228.000000|500|x3=51;x8=0
