source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
451405	DILD	2024-12-05 09:00:00	60		0	0	170.000000	170.000000	167.000000	168.000000	231200	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
451406	DILD	2024-12-05 09:01:00	60	60	0	0	167.000000	169.000000	167.000000	169.000000	1008700	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
451407	DILD	2024-12-05 09:02:00	60	60	0	0	169.000000	169.000000	169.000000	169.000000	450000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
451408	DILD	2024-12-05 09:03:00	60	60	0	0	169.000000	169.000000	169.000000	169.000000	500	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
451409	DILD	2024-12-05 09:04:00	60	60	0	0	169.000000	170.000000	169.000000	170.000000	519400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
451410	DILD	2024-12-05 09:05:00	60	60	0	0	170.000000	170.000000	169.000000	170.000000	179600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
451411	DILD	2024-12-05 09:06:00	60	60	0	0	170.000000	170.000000	170.000000	170.000000	76500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
451412	DILD	2024-12-05 09:07:00	60	60	0	0	170.000000	170.000000	169.000000	170.000000	223200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
451413	DILD	2024-12-05 09:08:00	60	60	0	0	171.000000	171.000000	170.000000	170.000000	10500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
451414	DILD	2024-12-05 09:09:00	60	60	0	0	171.000000	171.000000	171.000000	171.000000	2500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
451415	DILD	2024-12-05 09:10:00	60	60	0	0	171.000000	171.000000	171.000000	171.000000	488100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
