#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DILD|date=2024-12-05|rows=166|source_base=451405|compact_sha=9cb3f049a68095371df3dd322b99601bbca4051c2e82c9064df3bf335a97e438
defaults_json={"RAW_TICKER":"DILD","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|170.000000|170.000000|167.000000|168.000000|231200|x4=1;x5=1;x14=1
1|09:01:00|167.000000|169.000000|167.000000|169.000000|1008700|x14=1
2|09:02:00|169.000000|169.000000|169.000000|169.000000|450000|x14=1
3|09:03:00|169.000000|169.000000|169.000000|169.000000|500|x14=1
4|09:04:00|169.000000|170.000000|169.000000|170.000000|519400|x14=1
5|09:05:00|170.000000|170.000000|169.000000|170.000000|179600|
6|09:06:00|170.000000|170.000000|170.000000|170.000000|76500|
7|09:07:00|170.000000|170.000000|169.000000|170.000000|223200|
8|09:08:00|171.000000|171.000000|170.000000|170.000000|10500|
9|09:09:00|171.000000|171.000000|171.000000|171.000000|2500|
10|09:10:00|171.000000|171.000000|171.000000|171.000000|488100|
11|09:11:00|172.000000|172.000000|171.000000|172.000000|31600|
12|09:12:00|172.000000|173.000000|172.000000|172.000000|323100|
13|09:13:00|173.000000|173.000000|172.000000|173.000000|86500|
14|09:14:00|173.000000|174.000000|173.000000|173.000000|185600|
15|09:15:00|173.000000|173.000000|172.000000|173.000000|268700|
16|09:16:00|173.000000|173.000000|173.000000|173.000000|26900|
17|09:17:00|173.000000|173.000000|173.000000|173.000000|245000|
18|09:18:00|173.000000|173.000000|172.000000|173.000000|396800|
19|09:19:00|173.000000|173.000000|172.000000|173.000000|497200|
20|09:20:00|173.000000|173.000000|172.000000|173.000000|465400|
21|09:21:00|173.000000|173.000000|173.000000|173.000000|102500|
22|09:22:00|173.000000|174.000000|173.000000|173.000000|152200|
23|09:23:00|174.000000|174.000000|173.000000|173.000000|450000|
24|09:24:00|173.000000|173.000000|173.000000|173.000000|121000|
25|09:25:00|173.000000|173.000000|173.000000|173.000000|36800|
26|09:26:00|174.000000|174.000000|173.000000|173.000000|101800|
27|09:27:00|173.000000|173.000000|172.000000|172.000000|331000|
28|09:28:00|173.000000|174.000000|173.000000|174.000000|472400|
29|09:29:00|174.000000|174.000000|174.000000|174.000000|100|
30|09:30:00|173.000000|174.000000|173.000000|174.000000|140100|
31|09:31:00|173.000000|173.000000|172.000000|172.000000|12200|
32|09:32:00|172.000000|172.000000|172.000000|172.000000|1000|
33|09:33:00|173.000000|173.000000|173.000000|173.000000|13600|
34|09:34:00|173.000000|173.000000|172.000000|172.000000|483200|
35|09:35:00|172.000000|172.000000|172.000000|172.000000|10800|
36|09:36:00|171.000000|172.000000|171.000000|172.000000|10200|
37|09:38:00|172.000000|172.000000|171.000000|171.000000|10700|
38|09:39:00|171.000000|171.000000|171.000000|171.000000|1000|
39|09:41:00|172.000000|172.000000|172.000000|172.000000|50000|
40|09:42:00|172.000000|172.000000|172.000000|172.000000|200|
41|09:43:00|172.000000|172.000000|172.000000|172.000000|100|
42|09:44:00|172.000000|172.000000|172.000000|172.000000|200|
43|09:45:00|172.000000|172.000000|172.000000|172.000000|5100|
44|09:46:00|172.000000|172.000000|172.000000|172.000000|5000|
45|09:47:00|172.000000|172.000000|172.000000|172.000000|9400|
46|09:49:00|171.000000|171.000000|171.000000|171.000000|628800|
47|09:50:00|172.000000|172.000000|171.000000|171.000000|19600|
