source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
447351	DIVA	2024-12-05 09:00:00	60		0	0	172.000000	178.000000	172.000000	177.000000	101500	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
447352	DIVA	2024-12-05 09:01:00	60	60	0	0	178.000000	178.000000	175.000000	177.000000	165700	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
447353	DIVA	2024-12-05 09:02:00	60	60	0	0	176.000000	177.000000	174.000000	175.000000	292000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
447354	DIVA	2024-12-05 09:03:00	60	60	0	0	175.000000	176.000000	175.000000	175.000000	63600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
447355	DIVA	2024-12-05 09:04:00	60	60	0	0	175.000000	175.000000	174.000000	174.000000	161600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
447356	DIVA	2024-12-05 09:05:00	60	60	0	0	174.000000	174.000000	172.000000	172.000000	77500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
447357	DIVA	2024-12-05 09:06:00	60	60	0	0	171.000000	172.000000	171.000000	172.000000	220100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
447358	DIVA	2024-12-05 09:07:00	60	60	0	0	172.000000	173.000000	171.000000	172.000000	157900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
447359	DIVA	2024-12-05 09:08:00	60	60	0	0	172.000000	172.000000	172.000000	172.000000	5200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
447360	DIVA	2024-12-05 09:09:00	60	60	0	0	172.000000	172.000000	163.000000	163.000000	115100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
447361	DIVA	2024-12-05 09:10:00	60	60	0	0	163.000000	166.000000	162.000000	165.000000	56000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
447362	DIVA	2024-12-05 09:11:00	60	60	0	0	166.000000	166.000000	164.000000	164.000000	43500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
447363	DIVA	2024-12-05 09:12:00	60	60	0	0	163.000000	164.000000	162.000000	162.000000	106300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
447364	DIVA	2024-12-05 09:13:00	60	60	0	0	161.000000	165.000000	160.000000	165.000000	194500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
447365	DIVA	2024-12-05 09:14:00	60	60	0	0	165.000000	165.000000	163.000000	165.000000	33800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
447366	DIVA	2024-12-05 09:15:00	60	60	0	0	165.000000	165.000000	164.000000	165.000000	8600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
447367	DIVA	2024-12-05 09:16:00	60	60	0	0	165.000000	166.000000	164.000000	166.000000	12800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
