#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DIVA|date=2024-12-05|rows=222|source_base=447351|compact_sha=e502a6219f9f69d9f2a615424192cd29d291f0b33817ea07502685164fc62158
defaults_json={"RAW_TICKER":"DIVA","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|172.000000|178.000000|172.000000|177.000000|101500|x4=1;x5=1;x14=1
1|09:01:00|178.000000|178.000000|175.000000|177.000000|165700|x14=1
2|09:02:00|176.000000|177.000000|174.000000|175.000000|292000|x14=1
3|09:03:00|175.000000|176.000000|175.000000|175.000000|63600|x14=1
4|09:04:00|175.000000|175.000000|174.000000|174.000000|161600|x14=1
5|09:05:00|174.000000|174.000000|172.000000|172.000000|77500|
6|09:06:00|171.000000|172.000000|171.000000|172.000000|220100|
7|09:07:00|172.000000|173.000000|171.000000|172.000000|157900|
8|09:08:00|172.000000|172.000000|172.000000|172.000000|5200|
9|09:09:00|172.000000|172.000000|163.000000|163.000000|115100|
10|09:10:00|163.000000|166.000000|162.000000|165.000000|56000|
11|09:11:00|166.000000|166.000000|164.000000|164.000000|43500|
12|09:12:00|163.000000|164.000000|162.000000|162.000000|106300|
13|09:13:00|161.000000|165.000000|160.000000|165.000000|194500|
14|09:14:00|165.000000|165.000000|163.000000|165.000000|33800|
15|09:15:00|165.000000|165.000000|164.000000|165.000000|8600|
16|09:16:00|165.000000|166.000000|164.000000|166.000000|12800|
17|09:17:00|166.000000|166.000000|166.000000|166.000000|22100|
18|09:18:00|166.000000|166.000000|166.000000|166.000000|24300|
19|09:19:00|166.000000|166.000000|165.000000|165.000000|29200|
20|09:20:00|166.000000|166.000000|164.000000|164.000000|58700|
21|09:21:00|164.000000|165.000000|163.000000|164.000000|20800|
22|09:22:00|165.000000|165.000000|164.000000|164.000000|62800|
23|09:23:00|165.000000|165.000000|164.000000|164.000000|25700|
24|09:24:00|165.000000|165.000000|164.000000|164.000000|11400|
25|09:25:00|164.000000|165.000000|164.000000|164.000000|52800|
26|09:26:00|164.000000|165.000000|164.000000|164.000000|150500|
27|09:27:00|165.000000|165.000000|165.000000|165.000000|1000|
28|09:28:00|164.000000|165.000000|164.000000|165.000000|2400|
29|09:29:00|165.000000|165.000000|165.000000|165.000000|1600|
30|09:30:00|165.000000|165.000000|165.000000|165.000000|200|
31|09:31:00|165.000000|165.000000|164.000000|165.000000|41900|
32|09:32:00|165.000000|165.000000|165.000000|165.000000|13200|
33|09:33:00|165.000000|165.000000|165.000000|165.000000|11900|
34|09:34:00|165.000000|165.000000|165.000000|165.000000|8800|
35|09:35:00|165.000000|165.000000|165.000000|165.000000|6500|
36|09:36:00|166.000000|166.000000|166.000000|166.000000|6500|
37|09:37:00|167.000000|167.000000|166.000000|166.000000|800|
38|09:38:00|166.000000|166.000000|166.000000|166.000000|1500|
39|09:39:00|166.000000|166.000000|166.000000|166.000000|22900|
40|09:40:00|166.000000|166.000000|166.000000|166.000000|200|
