source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
454374	DLTA	2024-12-05 09:00:00	60		0	0	2180.000000	2180.000000	2180.000000	2180.000000	1000	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
454375	DLTA	2024-12-05 09:12:00	60	720	1	0	2180.000000	2180.000000	2180.000000	2180.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454376	DLTA	2024-12-05 09:14:00	60	120	1	0	2190.000000	2190.000000	2190.000000	2190.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454377	DLTA	2024-12-05 09:40:00	60	1560	1	0	2190.000000	2190.000000	2190.000000	2190.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454378	DLTA	2024-12-05 10:00:00	60	1200	1	0	2190.000000	2190.000000	2190.000000	2190.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454379	DLTA	2024-12-05 10:12:00	60	720	1	0	2180.000000	2180.000000	2180.000000	2180.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454380	DLTA	2024-12-05 10:28:00	60	960	1	0	2190.000000	2200.000000	2190.000000	2200.000000	1100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454381	DLTA	2024-12-05 10:29:00	60	60	0	0	2200.000000	2200.000000	2200.000000	2200.000000	1400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454382	DLTA	2024-12-05 10:38:00	60	540	1	0	2200.000000	2200.000000	2200.000000	2200.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454383	DLTA	2024-12-05 10:39:00	60	60	0	0	2210.000000	2210.000000	2210.000000	2210.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454384	DLTA	2024-12-05 10:52:00	60	780	1	0	2210.000000	2210.000000	2210.000000	2210.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454385	DLTA	2024-12-05 11:12:00	60	1200	1	0	2210.000000	2210.000000	2210.000000	2210.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454386	DLTA	2024-12-05 11:17:00	60	300	1	0	2200.000000	2200.000000	2200.000000	2200.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454387	DLTA	2024-12-05 11:19:00	60	120	1	0	2190.000000	2190.000000	2190.000000	2190.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454388	DLTA	2024-12-05 11:43:00	60	1440	1	0	2210.000000	2210.000000	2210.000000	2210.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
454389	DLTA	2024-12-05 14:32:00	60	10140	1	0	2200.000000	2200.000000	2200.000000	2200.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
454390	DLTA	2024-12-05 14:39:00	60	420	1	0	2190.000000	2190.000000	2190.000000	2190.000000	2500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
454391	DLTA	2024-12-05 14:40:00	60	60	0	0	2190.000000	2190.000000	2190.000000	2190.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
454392	DLTA	2024-12-05 15:29:00	60	2940	1	0	2200.000000	2200.000000	2200.000000	2200.000000	7000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
454393	DLTA	2024-12-05 15:31:00	60	120	1	0	2210.000000	2210.000000	2210.000000	2210.000000	800	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
454394	DLTA	2024-12-05 15:33:00	60	120	1	0	2220.000000	2220.000000	2220.000000	2220.000000	400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
454395	DLTA	2024-12-05 15:36:00	60	180	1	0	2210.000000	2210.000000	2210.000000	2210.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
454396	DLTA	2024-12-05 15:39:00	60	180	1	0	2220.000000	2220.000000	2220.000000	2220.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
454397	DLTA	2024-12-05 16:05:00	60	1560	1	0	2220.000000	2220.000000	2220.000000	2220.000000	2000	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1
454398	DLTA	2024-12-05 16:06:00	60	60	0	0	2220.000000	2220.000000	2220.000000	2220.000000	100	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1
