#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DLTA|date=2024-12-05|rows=25|source_base=454374|compact_sha=41bbf2e5427f94739151b6b015b9dcd3fb9d0700e643306db2de2001bc08d7c6
defaults_json={"RAW_TICKER":"DLTA","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|2180.000000|2180.000000|2180.000000|2180.000000|1000|x4=1;x5=1;x14=1
1|09:12:00|2180.000000|2180.000000|2180.000000|2180.000000|1000|
2|09:14:00|2190.000000|2190.000000|2190.000000|2190.000000|100|
3|09:40:00|2190.000000|2190.000000|2190.000000|2190.000000|200|
4|10:00:00|2190.000000|2190.000000|2190.000000|2190.000000|100|
5|10:12:00|2180.000000|2180.000000|2180.000000|2180.000000|100|
6|10:28:00|2190.000000|2200.000000|2190.000000|2200.000000|1100|
7|10:29:00|2200.000000|2200.000000|2200.000000|2200.000000|1400|
8|10:38:00|2200.000000|2200.000000|2200.000000|2200.000000|100|
9|10:39:00|2210.000000|2210.000000|2210.000000|2210.000000|300|
10|10:52:00|2210.000000|2210.000000|2210.000000|2210.000000|100|
11|11:12:00|2210.000000|2210.000000|2210.000000|2210.000000|100|
12|11:17:00|2200.000000|2200.000000|2200.000000|2200.000000|100|
13|11:19:00|2190.000000|2190.000000|2190.000000|2190.000000|400|
14|11:43:00|2210.000000|2210.000000|2210.000000|2210.000000|100|
15|14:32:00|2200.000000|2200.000000|2200.000000|2200.000000|100|x3=40;x8=0;x10=1
16|14:39:00|2190.000000|2190.000000|2190.000000|2190.000000|2500|x3=40;x8=0;x10=1
17|14:40:00|2190.000000|2190.000000|2190.000000|2190.000000|100|x3=40;x8=0;x10=1
18|15:29:00|2200.000000|2200.000000|2200.000000|2200.000000|7000|x3=40;x8=0;x10=1
19|15:31:00|2210.000000|2210.000000|2210.000000|2210.000000|800|x3=40;x8=0;x10=1
20|15:33:00|2220.000000|2220.000000|2220.000000|2220.000000|400|x3=40;x8=0;x10=1
21|15:36:00|2210.000000|2210.000000|2210.000000|2210.000000|500|x3=40;x8=0;x10=1
22|15:39:00|2220.000000|2220.000000|2220.000000|2220.000000|100|x3=40;x8=0;x10=1
23|16:05:00|2220.000000|2220.000000|2220.000000|2220.000000|2000|x3=60;x8=0;x12=1
24|16:06:00|2220.000000|2220.000000|2220.000000|2220.000000|100|x3=60;x8=0;x12=1
